Brand,Name,Price,Power,Milage,First listing,Info,Dealer,Link
11,BMW 120i Hatch,50.814 €,ca. 131 kW (178PS),1.500 km,EZ 05/2023,"Benzin, ca. -1,0 l/100 km (komb.)*, ca. 0 g CO₂/km (komb.)*, B",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972355146?num_on_page=2&page=1&premium=false&title=BMW+120+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2355146?num_on_page=2&page=1&premium=false&title=BMW+120+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 340 M340i xDrive Touring,49.890 €,ca. 275 kW (374PS),35.702 km,EZ 02/2020,"Benzin, ca. 7,3 l/100 km (komb.)*, ca. 165 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972338116?num_on_page=1&page=1&premium=false&title=BMW+3er+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2338116?num_on_page=1&page=1&premium=false&title=BMW+3er+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X5 xDrive45e,85.905 €,ca. 210 kW (286PS),30.520 km,EZ 09/2022,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972340926?num_on_page=3&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blic-2340926?num_on_page=3&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blick
11,BMW Z4 sDrive30i,40.889 €,ca. 190 kW (258PS),24.188 km,EZ 10/2019,"Benzin, ca. 6,1 l/100 km (komb.)*, ca. 139 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972352812?num_on_page=2&page=1&premium=false&title=Alle+gebrauchten+BMW+Z4+Roadster+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2352812?num_on_page=2&page=1&premium=false&title=Alle+gebrauchten+BMW+Z4+Roadster+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW X2 sDrive18i,25.980 €,ca. 103 kW (140PS),22.340 km,EZ 11/2020,"Benzin, ca. 5,5 l/100 km (komb.)*, ca. 125 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972345688?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+T%C3%BCbingen+%7C+12Gebrauchtwagen.d-2345688?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+T%C3%BCbingen+%7C+12Gebrauchtwagen.de
11,BMW 530d xDrive Limousine,35.350 €,ca. 195 kW (265PS),105.118 km,EZ 03/2019,"Diesel, ca. 5,6 l/100 km (komb.)*, ca. 146 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972344124?num_on_page=2&page=1&premium=false&title=BMW+530+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2344124?num_on_page=2&page=1&premium=false&title=BMW+530+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 420i Cabrio,70.749 €,ca. 135 kW (184PS),100 km,EZ 05/2023,"Benzin, ca. -1,0 l/100 km (komb.)*, ca. 0 g CO₂/km (komb.)*, A",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354994?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+4er+Cabrio+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2354994?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+4er+Cabrio+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 540d xDrive Touring,56.840 €,ca. 250 kW (340PS),14.541 km,EZ 04/2022,"Diesel, ca. 5,4 l/100 km (komb.)*, ca. 143 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972340773?num_on_page=2&page=1&premium=false&title=BMW+540+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2340773?num_on_page=2&page=1&premium=false&title=BMW+540+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 118i,23.440 €,ca. 100 kW (136PS),85.054 km,EZ 03/2021,"Benzin, ca. 4,9 l/100 km (komb.)*, ca. 113 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972339249?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+Zwickau+%7C+12Gebrauchtwagen.d-2339249?num_on_page=3&page=1&premium=false&title=Gebrauchtwagen+in+Zwickau+%7C+12Gebrauchtwagen.de
11,BMW 318d Touring,40.889 €,ca. 110 kW (150PS),20.248 km,EZ 12/2021,"Diesel, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972347914?num_on_page=2&page=1&premium=false&title=BMW+318+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2347914?num_on_page=2&page=1&premium=false&title=BMW+318+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 116d,22.490 €,ca. 85 kW (116PS),52.714 km,EZ 04/2020,"Diesel, ca. 3,8 l/100 km (komb.)*, ca. 100 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972346648?num_on_page=2&page=1&premium=false&title=BMW+116+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2346648?num_on_page=2&page=1&premium=false&title=BMW+116+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X2 xDrive20d,32.270 €,ca. 140 kW (190PS),37.379 km,EZ 06/2019,"Diesel, ca. 4,8 l/100 km (komb.)*, ca. 126 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972351205?num_on_page=4&page=1&premium=false&title=Gebrauchtwagen+in+Ibbenb%C3%BCren+%7C+12Gebrauchtwagen.d-2351205?num_on_page=4&page=1&premium=false&title=Gebrauchtwagen+in+Ibbenb%C3%BCren+%7C+12Gebrauchtwagen.de
11,BMW 520d Limousine,36.180 €,ca. 140 kW (190PS),12.600 km,EZ 07/2020,"Diesel, ca. 4,1 l/100 km (komb.)*, ca. 108 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972347191?num_on_page=5&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2347191?num_on_page=5&page=1&premium=false&title=BMW+520+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 118i,22.670 €,ca. 103 kW (140PS),21.200 km,EZ 12/2019,"Benzin, ca. 5,4 l/100 km (komb.)*, ca. 122 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972344954?num_on_page=1&page=2&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2344954?num_on_page=1&page=2&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW 320i Touring,39.823 €,ca. 135 kW (184PS),1.593 km,EZ 12/2020,"Benzin, ca. 5,7 l/100 km (komb.)*, ca. 130 g CO₂/km (komb.)*, A",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972334804?num_on_page=5&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2334804?num_on_page=5&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X5 xDrive45e,81.275 €,ca. 210 kW (286PS),13.697 km,EZ 03/2022,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972343575?num_on_page=4&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blic-2343575?num_on_page=4&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blick
11,BMW 320d Limousine,27.850 €,ca. 140 kW (190PS),67.475 km,EZ 08/2020,"Diesel, ca. 4,1 l/100 km (komb.)*, ca. 107 g CO₂/km (komb.)*, A+",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972337765?num_on_page=6&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2337765?num_on_page=6&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 218d Active Tourer,24.949 €,ca. 110 kW (150PS),47.400 km,EZ 10/2020,"Diesel, ca. 4,5 l/100 km (komb.)*, ca. 119 g CO₂/km (komb.)*, A",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972355529?num_on_page=4&page=1&premium=false&title=Gebrauchtwagen+in+T%C3%BCbingen+%7C+12Gebrauchtwagen.d-2355529?num_on_page=4&page=1&premium=false&title=Gebrauchtwagen+in+T%C3%BCbingen+%7C+12Gebrauchtwagen.de
11,BMW X5 xDrive40i,71.829 €,ca. 245 kW (333PS),33.551 km,EZ 10/2021,"Benzin, ca. 8,0 l/100 km (komb.)*, ca. 183 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972352236?num_on_page=7&page=1&premium=false&title=BMW+X5+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2352236?num_on_page=7&page=1&premium=false&title=BMW+X5+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X4 M40i,84.330 €,ca. 265 kW (360PS),4.000 km,EZ 04/2023,"Benzin, ca. 0 g CO₂/km (komb.)*, A+++",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972347497?num_on_page=4&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2347497?num_on_page=4&page=1&premium=false&title=BMW+X4+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X3 xDrive20i,32.896 €,ca. 135 kW (184PS),25.920 km,EZ 12/2018,"Benzin, ca. 7,1 l/100 km (komb.)*, ca. 163 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354692?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+in+N%C3%BCrnberg+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2354692?num_on_page=1&page=1&premium=false&title=Alle+gebrauchten+BMW+in+N%C3%BCrnberg+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 330e xDrive Limousine,50.390 €,ca. 135 kW (184PS),22.047 km,EZ 03/2022,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972343808?num_on_page=2&page=1&premium=false&title=BMW+330+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2343808?num_on_page=2&page=1&premium=false&title=BMW+330+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X3 xDrive20d ZA,43.980 €,ca. 140 kW (190PS),29.490 km,EZ 04/2020,"Diesel, ca. 5,1 l/100 km (komb.)*, ca. 133 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972348000?num_on_page=2&page=1&premium=false&title=BMW+X-Reihe+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2348000?num_on_page=2&page=1&premium=false&title=BMW+X-Reihe+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW X1 xDrive18d,29.490 €,ca. 110 kW (150PS),47.291 km,EZ 05/2020,"Diesel, ca. 4,6 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354247?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+X-Reihe+in+Regensburg+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2354247?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+X-Reihe+in+Regensburg+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 850 M850i xDrive Cabrio,90.440 €,ca. 390 kW (530PS),11.299 km,EZ 08/2022,"Benzin, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972345600?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2345600?num_on_page=1&page=1&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW 530e iPerformance Limousine,38.821 €,ca. 135 kW (184PS),29.300 km,EZ 01/2020,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972335375?num_on_page=1&page=1&premium=false&title=Gebrauchtwagen+in+Passau+%7C+12Gebrauchtwagen.d-2335375?num_on_page=1&page=1&premium=false&title=Gebrauchtwagen+in+Passau+%7C+12Gebrauchtwagen.de
11,BMW 118i,20.880 €,ca. 100 kW (136PS),45.119 km,EZ 03/2021,"Benzin, ca. 5,5 l/100 km (komb.)*, ca. 126 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972351346?num_on_page=1&page=1&premium=false&title=BMW+1er+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2351346?num_on_page=1&page=1&premium=false&title=BMW+1er+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 840i xDrive Cabrio,78.490 €,ca. 245 kW (333PS),7.512 km,EZ 04/2021,"Benzin, ca. 8,0 l/100 km (komb.)*, ca. 183 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972331564?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+8er+in+Stuttgart+auf+einen+Blick+%7C+12Gebrauchtwagen.d-2331564?num_on_page=3&page=1&premium=false&title=Alle+gebrauchten+BMW+8er+in+Stuttgart+auf+einen+Blick+%7C+12Gebrauchtwagen.de
11,BMW 118i 5-Türer,17.405 €,ca. 100 kW (136PS),89.918 km,EZ 03/2019,"Benzin, ca. 5,6 l/100 km (komb.)*, ca. 128 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972354526?num_on_page=8&page=1&premium=false&title=BMW+118+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2354526?num_on_page=8&page=1&premium=false&title=BMW+118+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 225xe iPerformance Active Tourer,25.260 €,ca. 100 kW (136PS),32.700 km,EZ 10/2019,"Hybrid, ca. 0 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972343417?num_on_page=5&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blic-2343417?num_on_page=5&page=1&premium=false&title=Alle+Gebrauchtwagen+mit+Hybrid+auf+einen+Blick
11,BMW 520d Touring Luxury Line,41.490 €,ca. 140 kW (190PS),43.900 km,EZ 04/2021,"Diesel, ca. 4,3 l/100 km (komb.)*, ca. 113 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972348375?num_on_page=1&page=3&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.d-2348375?num_on_page=1&page=3&premium=false&title=Autosuche%3A+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
11,BMW 320d xDrive Touring,41.930 €,ca. 140 kW (190PS),13.708 km,EZ 03/2021,"Diesel, ca. 4,5 l/100 km (komb.)*, ca. 117 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972332093?num_on_page=7&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2332093?num_on_page=7&page=1&premium=false&title=BMW+320+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
11,BMW 540i Limousine,41.950 €,ca. 250 kW (340PS),43.134 km,EZ 12/2018,"Benzin, ca. 7,4 l/100 km (komb.)*, ca. 168 g CO₂/km (komb.)*",gefunden auf BMW,https://www.12gebrauchtwagen.de/c/26/972333152?num_on_page=4&page=1&premium=false&title=BMW+540+gebraucht+kaufen+%7C+12Gebrauchtwagen.d-2333152?num_on_page=4&page=1&premium=false&title=BMW+540+gebraucht+kaufen+%7C+12Gebrauchtwagen.de
